user_id,public,completion_percentage,gender,region,age
150,0,33,1,zilinsky kraj  kysucke nove mesto,20
151,0,12,1,zahranicie  zahranicie - ostatne,0
152,0,26,0,zilinsky kraj  kysucke nove mesto,22
153,1,47,1,zilinsky kraj  kysucke nove mesto,21
154,0,16,0,zilinsky kraj  kysucke nove mesto,21
155,1,40,1,zilinsky kraj  kysucke nove mesto,20
156,1,26,0,zilinsky kraj  kysucke nove mesto,19
157,1,28,0,zilinsky kraj  cadca,0
158,1,79,0,zilinsky kraj  cadca,0
159,1,59,1,zilinsky kraj  kysucke nove mesto,22
160,0,74,1,zilinsky kraj  kysucke nove mesto,24
161,1,48,0,zilinsky kraj  kysucke nove mesto,0
162,1,59,1,zilinsky kraj  kysucke nove mesto,22
163,1,12,1,zahranicie  zahranicie - kanada,22
164,0,67,1,zahranicie  zahranicie - ostatne,0
165,1,71,1,zilinsky kraj  kysucke nove mesto,23
166,1,12,0,zilinsky kraj  kysucke nove mesto,21
167,0,71,0,zahranicie  zahranicie - usa,18
168,1,19,0,zilinsky kraj  kysucke nove mesto,0
169,0,12,0,zahranicie  zahranicie - ostatne,0
170,0,12,0,zilinsky kraj  zilina,19
171,0,24,0,zilinsky kraj  kysucke nove mesto,18
172,1,59,1,zilinsky kraj  kysucke nove mesto,20
173,1,16,0,zahranicie  zahranicie - francuzsko,0
174,0,21,0,kosicky kraj  michalovce,23
175,0,21,0,nitriansky kraj  nitra,22
176,1,45,0,nitriansky kraj  nitra,23
177,0,60,0,kosicky kraj  michalovce,22
178,1,33,0,zilinsky kraj  zilina,23
179,1,59,0,kosicky kraj  michalovce,21
180,1,66,0,kosicky kraj  michalovce,22
181,0,47,1,bratislavsky kraj  bratislava - ruzinov,26
182,0,57,0,kosicky kraj  michalovce,25
183,1,62,1,kosicky kraj  michalovce,26
184,0,12,1,zilinsky kraj  zilina,25
185,1,28,0,kosicky kraj  michalovce,20
186,0,12,0,kosicky kraj  michalovce,21
187,1,41,0,zilinsky kraj  zilina,22
188,0,12,0,zilinsky kraj  zilina,26
189,1,21,1,bratislavsky kraj  bratislava - okolie,0
190,1,67,1,zilinsky kraj  cadca,20
191,0,48,1,zilinsky kraj  zilina,23
192,1,64,0,banskobystricky kraj  brezno,22
193,1,12,0,zilinsky kraj  martin,21
194,0,12,0,kosicky kraj  kosice - okolie,0
195,1,83,1,zilinsky kraj  cadca,0
196,0,50,0,zahranicie  zahranicie - usa,15
197,0,62,1,zilinsky kraj  zilina,22
198,0,43,1,zilinsky kraj  martin,32
199,0,19,0,zilinsky kraj  trstena,0
200,1,40,0,banskobystricky kraj  brezno,20
201,0,12,0,banskobystricky kraj  banska bystrica,22
202,1,71,1,zilinsky kraj  bytca,24
203,0,12,0,banskobystricky kraj  brezno,21
204,1,64,1,banskobystricky kraj  brezno,22
205,1,50,1,bratislavsky kraj  bratislava - vrakuna,22
206,1,62,1,banskobystricky kraj  brezno,22
207,1,62,0,banskobystricky kraj  banska bystrica,22
208,1,83,0,zilinsky kraj  cadca,20
209,0,71,1,banskobystricky kraj  brezno,22
210,0,66,0,banskobystricky kraj  brezno,22
211,0,47,1,banskobystricky kraj  brezno,22
212,0,12,0,banskobystricky kraj  brezno,21
213,0,67,0,banskobystricky kraj  brezno,21
214,0,12,1,bratislavsky kraj  bratislava - ruzinov,0
215,0,12,1,banskobystricky kraj  brezno,21
216,0,60,1,bratislavsky kraj  bratislava - dubravka,0
217,0,67,0,banskobystricky kraj  zvolen,22
218,1,64,1,banskobystricky kraj  brezno,26
219,1,48,1,banskobystricky kraj  brezno,22
220,0,55,1,bratislavsky kraj  bratislava - ostatne,0
221,0,62,0,banskobystricky kraj  brezno,22
222,1,66,1,banskobystricky kraj  banska bystrica,27
223,0,62,1,bratislavsky kraj  bratislava - stare mesto,0
224,1,72,1,banskobystricky kraj  brezno,21
225,1,66,0,banskobystricky kraj  brezno,22
226,1,24,0,banskobystricky kraj  brezno,26
227,0,12,1,banskobystricky kraj  brezno,0
228,1,12,1,banskobystricky kraj  brezno,22
229,1,72,1,banskobystricky kraj  brezno,21
230,1,36,0,banskobystricky kraj  brezno,22
231,1,59,0,banskobystricky kraj  brezno,22
232,0,64,0,banskobystricky kraj  brezno,22
233,0,40,0,zilinsky kraj  bytca,0
234,0,36,0,banskobystricky kraj  brezno,21
235,1,64,0,banskobystricky kraj  brezno,21
236,0,57,1,zilinsky kraj  cadca,24
237,0,16,0,zilinsky kraj  cadca,22
238,1,67,0,zilinsky kraj  zilina,19
239,1,12,0,banskobystricky kraj  krupina,11
240,1,12,0,ceska republika  cz - praha,13
241,1,66,0,zilinsky kraj  zilina,21
242,1,17,1,zilinsky kraj  cadca,25
243,0,69,0,zilinsky kraj  cadca,22
244,1,53,0,zilinsky kraj  cadca,10
245,1,66,1,zilinsky kraj  kysucke nove mesto,23
246,1,55,1,zilinsky kraj  cadca,0
247,1,64,0,zilinsky kraj  cadca,15
248,0,71,1,zilinsky kraj  cadca,30
249,1,67,0,zilinsky kraj  cadca,13
250,1,71,0,zilinsky kraj  cadca,10
251,1,64,0,zilinsky kraj  zilina,14
252,1,12,0,zilinsky kraj  zilina,22
253,1,67,0,zilinsky kraj  cadca,21
254,1,36,0,trnavsky kraj  trnava,0
255,0,59,0,zilinsky kraj  cadca,25
256,1,69,1,zilinsky kraj  zilina,24
257,1,66,0,trnavsky kraj  trnava,19
258,1,59,1,trnavsky kraj  trnava,25
259,1,52,0,zilinsky kraj  cadca,22
260,1,62,1,zilinsky kraj  cadca,15
261,1,59,1,zilinsky kraj  zilina,25
262,0,29,0,zilinsky kraj  turzovka,21
263,1,67,1,zilinsky kraj  zilina,18
264,0,67,0,zahranicie  zahranicie - ostatne,22
265,1,67,1,zilinsky kraj  cadca,22
266,1,41,1,zilinsky kraj  kysucke nove mesto,23
267,1,67,1,zilinsky kraj  kysucke nove mesto,28
268,1,67,1,zilinsky kraj  cadca,22
269,1,38,1,ceska republika  cz - ostravsky kraj,28
270,0,60,0,zilinsky kraj  cadca,22
271,0,16,0,zilinsky kraj  cadca,21
272,1,53,0,zilinsky kraj  cadca,22
273,0,66,1,zilinsky kraj  cadca,28
274,0,78,1,zilinsky kraj  kysucke nove mesto,22
275,0,38,0,zilinsky kraj  cadca,21
276,0,67,0,zilinsky kraj  cadca,0
277,1,53,1,zilinsky kraj  kysucke nove mesto,0
278,1,14,0,zahranicie  zahranicie - ostatne,20
279,1,66,0,zilinsky kraj  cadca,21
280,0,16,0,zilinsky kraj  cadca,0
281,1,12,1,presovsky kraj  svidnik,23
282,0,64,1,zilinsky kraj  cadca,22
283,1,64,1,zilinsky kraj  cadca,0
284,1,52,1,zilinsky kraj  cadca,24
285,0,38,0,zilinsky kraj  cadca,0
286,1,47,1,zilinsky kraj  kysucke nove mesto,0
287,0,12,1,zilinsky kraj  zilina,0
288,1,60,1,zilinsky kraj  krasno nad kysucou,32
289,1,84,1,trnavsky kraj  sered,15
290,0,22,1,zilinsky kraj  cadca,23
291,1,12,0,zilinsky kraj  cadca,0
292,1,69,1,zahranicie  zahranicie - gb,25
293,0,16,0,zilinsky kraj  cadca,21
294,1,60,1,zilinsky kraj  kysucke nove mesto,24
295,1,12,0,zilinsky kraj  cadca,0
296,0,62,0,zilinsky kraj  zilina,0
297,0,59,1,zilinsky kraj  zilina,35
298,0,31,0,zilinsky kraj  kysucke nove mesto,21
299,0,12,1,zahranicie  zahranicie - ostatne,0
300,1,69,1,zilinsky kraj  zilina,19
301,1,43,1,zilinsky kraj  zilina,0
302,0,33,1,zilinsky kraj  zilina,24
303,0,12,1,bratislavsky kraj  bratislava - petrzalka,0
304,1,66,1,zilinsky kraj  dolny kubin,23
305,1,31,1,zilinsky kraj  zilina,27
306,0,62,1,zilinsky kraj  zilina,25
307,0,55,0,banskobystricky kraj  brezno,23
308,1,45,0,banskobystricky kraj  brezno,20
309,1,59,0,banskobystricky kraj  brezno,22
310,1,71,1,banskobystricky kraj  brezno,21
311,0,31,1,banskobystricky kraj  banska bystrica,22
312,0,28,1,banskobystricky kraj  banska bystrica,22
313,1,34,0,banskobystricky kraj  brezno,21
314,0,19,0,banskobystricky kraj  brezno,22
315,1,76,1,banskobystricky kraj  brezno,22
316,1,16,0,banskobystricky kraj  brezno,22
317,0,12,1,zilinsky kraj  liptovsky mikulas,0
318,1,66,1,banskobystricky kraj  brezno,22
319,1,69,1,banskobystricky kraj  brezno,22
320,0,12,1,banskobystricky kraj  banska bystrica,22
321,0,53,1,banskobystricky kraj  brezno,23
322,1,12,1,banskobystricky kraj  brezno,22
323,0,71,0,ceska republika  cz - ustecky kraj,21
324,0,33,0,bratislavsky kraj  bratislava - karlova ves,21
325,1,66,1,banskobystricky kraj  brezno,23
326,1,71,1,banskobystricky kraj  brezno,0
327,0,60,0,banskobystricky kraj  brezno,21
328,0,12,0,bratislavsky kraj  bratislava - okolie,0
329,1,57,1,banskobystricky kraj  brezno,23
330,0,67,1,banskobystricky kraj  brezno,23
331,1,53,0,presovsky kraj  vranov nad toplou,22
332,1,72,1,zilinsky kraj  turcianske teplice,22
333,0,47,0,banskobystricky kraj  brezno,22
334,1,59,0,banskobystricky kraj  brezno,22
335,1,12,0,banskobystricky kraj  brezno,0
336,1,69,1,banskobystricky kraj  brezno,22
337,0,29,1,banskobystricky kraj  banska bystrica,0
338,0,12,0,banskobystricky kraj  brezno,0
339,1,66,0,banskobystricky kraj  brezno,22
340,0,45,1,kosicky kraj  gelnica,0
341,1,64,1,banskobystricky kraj  brezno,22
342,1,14,1,zahranicie  zahranicie - gb,0
343,1,66,1,banskobystricky kraj  brezno,23
344,1,66,0,bratislavsky kraj  bratislava - ruzinov,22
345,0,62,0,banskobystricky kraj  brezno,22
346,1,12,1,banskobystricky kraj  brezno,21
347,1,60,0,banskobystricky kraj  brezno,21
348,1,12,0,presovsky kraj  bardejov,0
349,0,12,0,zahranicie  zahranicie - ostatne,0
350,1,64,1,banskobystricky kraj  brezno,0
351,1,12,0,zahranicie  zahranicie - gb,25
352,0,71,0,banskobystricky kraj  brezno,24
353,1,36,0,banskobystricky kraj  zvolen,26
354,1,52,0,banskobystricky kraj  brezno,0
355,0,72,1,banskobystricky kraj  brezno,20
356,1,71,1,banskobystricky kraj  brezno,26
357,1,66,0,banskobystricky kraj  brezno,21
358,1,69,0,banskobystricky kraj  brezno,22
359,0,41,0,banskobystricky kraj  banska bystrica,21
360,0,64,0,banskobystricky kraj  brezno,0
361,0,14,0,banskobystricky kraj  brezno,0
362,1,47,0,banskobystricky kraj  brezno,24
363,1,48,1,zilinsky kraj  tvrdosin,29
364,0,60,0,banskobystricky kraj  brezno,0
365,0,16,0,banskobystricky kraj  ziar nad hronom,26
366,1,28,0,banskobystricky kraj  ziar nad hronom,26
367,0,62,1,banskobystricky kraj  brezno,26
368,1,12,1,banskobystricky kraj  brezno,0
369,0,71,1,banskobystricky kraj  brezno,25
370,1,66,1,banskobystricky kraj  brezno,0
371,1,12,0,banskobystricky kraj  brezno,25
372,1,62,0,banskobystricky kraj  banska bystrica,26
373,1,19,1,banskobystricky kraj  brezno,25
374,1,71,1,banskobystricky kraj  brezno,23
375,1,36,0,banskobystricky kraj  banska bystrica,19
376,0,14,0,zilinsky kraj  zilina,21
377,1,12,0,banskobystricky kraj  brezno,24
378,1,67,0,banskobystricky kraj  brezno,0
379,1,12,1,banskobystricky kraj  brezno,27
380,0,12,0,zahranicie  zahranicie - gb,29
381,1,62,1,banskobystricky kraj  brezno,24
382,0,59,0,banskobystricky kraj  brezno,26
383,1,41,1,banskobystricky kraj  brezno,24
384,0,64,1,banskobystricky kraj  brezno,25
385,0,50,0,banskobystricky kraj  banska bystrica,25
386,0,60,0,banskobystricky kraj  brezno,0
387,0,59,0,banskobystricky kraj  brezno,24
388,0,76,0,kosicky kraj  spisska nova ves,18
389,0,12,0,banskobystricky kraj  banska bystrica,29
390,0,40,0,trenciansky kraj  dubnica nad vahom,25
391,1,12,0,banskobystricky kraj  brezno,27
392,1,64,0,banskobystricky kraj  brezno,20
393,0,16,1,trnavsky kraj  senica,0
394,1,12,0,banskobystricky kraj  brezno,27
395,0,48,0,banskobystricky kraj  brezno,0
396,1,66,1,banskobystricky kraj  brezno,34
397,1,62,0,banskobystricky kraj  ziar nad hronom,26
398,1,59,1,banskobystricky kraj  brezno,26
399,1,12,1,trnavsky kraj  senica,22
400,1,66,1,trnavsky kraj  skalica,25
401,0,69,0,banskobystricky kraj  brezno,0
402,1,12,0,banskobystricky kraj  brezno,26
403,1,60,1,banskobystricky kraj  brezno,27
404,1,62,1,banskobystricky kraj  brezno,27
405,1,60,1,banskobystricky kraj  rimavska sobota,25
406,0,22,0,banskobystricky kraj  rimavska sobota,0
407,1,67,0,banskobystricky kraj  lucenec,24
408,1,59,0,banskobystricky kraj  brezno,27
409,0,12,1,banskobystricky kraj  brezno,41
410,0,12,1,zahranicie  zahranicie - ostatne,0
411,1,83,0,banskobystricky kraj  brezno,0
412,1,47,0,zilinsky kraj  namestovo,26
413,1,57,0,zilinsky kraj  cadca,27
414,0,62,0,banskobystricky kraj  lucenec,27
415,1,31,1,zilinsky kraj  kysucke nove mesto,20
416,0,12,0,zilinsky kraj  kysucke nove mesto,19
417,1,64,0,zilinsky kraj  cadca,25
418,1,69,1,zilinsky kraj  kysucke nove mesto,25
419,1,67,0,zilinsky kraj  cadca,0
420,0,48,1,zilinsky kraj  cadca,27
421,0,26,0,zilinsky kraj  cadca,24
422,0,38,0,zilinsky kraj  cadca,17
423,1,67,0,zilinsky kraj  cadca,19
424,1,64,0,zilinsky kraj  cadca,24
425,0,67,0,trenciansky kraj  puchov,0
426,0,64,0,zilinsky kraj  zilina,0
427,0,60,0,zilinsky kraj  zilina,21
428,0,14,0,zahranicie  zahranicie - kanada,21
429,0,69,1,zilinsky kraj  kysucke nove mesto,0
430,0,67,1,zilinsky kraj  kysucke nove mesto,24
431,0,78,0,zilinsky kraj  kysucke nove mesto,0
432,1,83,0,zilinsky kraj  kysucke nove mesto,15
433,0,14,1,zilinsky kraj  kysucke nove mesto,0
434,1,71,1,zilinsky kraj  zilina,22
435,0,48,0,zahranicie  zahranicie - ostatne,28
436,1,64,0,zilinsky kraj  zilina,27
437,1,66,1,zilinsky kraj  martin,27
438,0,52,0,zilinsky kraj  martin,28
439,0,14,1,zilinsky kraj  cadca,27
440,0,28,0,zilinsky kraj  zilina,28
441,1,14,0,zahranicie  zahranicie - gb,26
442,1,52,0,zilinsky kraj  martin,22
443,1,72,1,zilinsky kraj  martin,20
444,0,12,0,zilinsky kraj  martin,27
445,1,48,0,kosicky kraj  kosice - dargovskych hrdinov,27
446,1,12,1,zilinsky kraj  ruzomberok,28
447,1,52,1,kosicky kraj  gelnica,25
448,0,60,0,zilinsky kraj  kysucke nove mesto,0
449,0,76,0,zilinsky kraj  zilina,0
450,1,67,0,zilinsky kraj  kysucke nove mesto,22
451,0,67,1,zilinsky kraj  kysucke nove mesto,18
452,0,74,1,zilinsky kraj  kysucke nove mesto,17
453,1,21,1,zilinsky kraj  kysucke nove mesto,22
454,1,67,1,zilinsky kraj  cadca,19
455,0,64,1,zilinsky kraj  cadca,19
456,1,12,1,zilinsky kraj  cadca,18
457,1,66,1,zilinsky kraj  kysucke nove mesto,22
458,1,78,0,zilinsky kraj  kysucke nove mesto,0
459,0,19,1,zilinsky kraj  cadca,19
460,0,12,0,zilinsky kraj  zilina,21
461,1,66,1,zilinsky kraj  kysucke nove mesto,0
462,0,19,1,zilinsky kraj  kysucke nove mesto,22
463,1,60,1,zilinsky kraj  kysucke nove mesto,30
464,0,24,1,zilinsky kraj  kysucke nove mesto,0
465,1,19,1,zilinsky kraj  cadca,19
466,1,52,1,zilinsky kraj  kysucke nove mesto,17
467,0,52,1,zilinsky kraj  cadca,19
468,1,71,0,zilinsky kraj  kysucke nove mesto,20
469,1,52,0,zilinsky kraj  zilina,20
470,1,67,0,zilinsky kraj  cadca,18
471,0,66,0,zilinsky kraj  cadca,21
472,0,79,0,zilinsky kraj  cadca,21
473,1,33,0,zilinsky kraj  cadca,19
474,0,64,0,zilinsky kraj  rajec,17
475,1,74,0,zilinsky kraj  cadca,20
476,0,71,0,zilinsky kraj  zilina,21
477,1,71,0,zilinsky kraj  zilina,19
478,0,28,0,zilinsky kraj  zilina,0
479,1,12,0,zilinsky kraj  zilina,21
480,1,76,0,zilinsky kraj  zilina,18
481,1,55,0,zilinsky kraj  kysucke nove mesto,17
482,1,93,0,zilinsky kraj  kysucke nove mesto,17
483,1,76,0,zilinsky kraj  kysucke nove mesto,0
484,1,60,0,zilinsky kraj  kysucke nove mesto,17
485,1,90,0,zilinsky kraj  cadca,19
486,0,47,0,zilinsky kraj  zilina,19
487,1,81,0,zilinsky kraj  kysucke nove mesto,20
488,1,67,0,zilinsky kraj  zilina,20
489,1,72,0,zilinsky kraj  zilina,19
490,0,78,0,zilinsky kraj  rajecke teplice,20
491,1,66,0,zilinsky kraj  bytca,0
492,0,50,0,zilinsky kraj  zilina,18
493,1,53,0,zilinsky kraj  zilina,19
494,1,19,0,zilinsky kraj  kysucke nove mesto,19
495,1,67,0,zilinsky kraj  kysucke nove mesto,19
496,1,72,0,zilinsky kraj  zilina,0
497,1,16,0,zilinsky kraj  zilina,19
498,0,66,1,zilinsky kraj  zilina,16
499,1,66,0,zilinsky kraj  zilina,20
500,1,71,0,zilinsky kraj  cadca,20
501,0,59,0,zilinsky kraj  zilina,0
502,0,71,0,zilinsky kraj  zilina,19
503,1,69,0,zilinsky kraj  kysucke nove mesto,0
504,0,81,0,zilinsky kraj  kysucke nove mesto,18
505,1,67,1,zilinsky kraj  zilina,24
506,1,79,0,zilinsky kraj  zilina,20
507,1,67,0,zilinsky kraj  cadca,18
508,0,31,0,zilinsky kraj  zilina,19
509,0,26,0,zilinsky kraj  kysucke nove mesto,19
510,0,72,0,zilinsky kraj  zilina,20
511,1,74,0,zilinsky kraj  kysucke nove mesto,19
512,1,74,1,zilinsky kraj  kysucke nove mesto,21
513,0,55,0,zilinsky kraj  kysucke nove mesto,0
514,1,67,0,zilinsky kraj  kysucke nove mesto,0
515,1,14,0,zahranicie  zahranicie - ostatne,0
516,0,60,0,zilinsky kraj  kysucke nove mesto,0
517,0,16,0,zilinsky kraj  zilina,20
518,0,66,1,zilinsky kraj  kysucke nove mesto,0
519,0,36,0,zilinsky kraj  kysucke nove mesto,19
520,0,72,0,zilinsky kraj  zilina,19
521,0,66,0,zilinsky kraj  zilina,17
522,1,69,0,zilinsky kraj  zilina,18
523,0,67,0,zilinsky kraj  cadca,19
524,1,69,0,zilinsky kraj  cadca,0
525,0,69,0,zilinsky kraj  zilina,20
526,1,60,0,zilinsky kraj  zilina,19
527,0,45,0,zilinsky kraj  rajecke teplice,20
528,0,69,0,zilinsky kraj  zilina,0
529,1,48,1,bratislavsky kraj  bratislava - okolie,22
530,1,17,0,zilinsky kraj  bytca,19
531,1,60,0,zilinsky kraj  kysucke nove mesto,21
532,0,48,0,zilinsky kraj  zilina,0
533,1,81,0,zilinsky kraj  zilina,21
534,1,57,0,zilinsky kraj  kysucke nove mesto,0
535,1,66,0,zilinsky kraj  kysucke nove mesto,21
536,1,12,1,zilinsky kraj  zilina,0
537,1,76,1,zilinsky kraj  zilina,0
538,1,45,0,zilinsky kraj  kysucke nove mesto,0
539,0,21,0,zilinsky kraj  zilina,20
540,1,43,0,zilinsky kraj  zilina,20
541,0,19,0,zilinsky kraj  zilina,17
542,1,12,0,zilinsky kraj  zilina,20
543,0,67,0,zahranicie  zahranicie - usa,20
544,1,72,0,zilinsky kraj  zilina,0
545,1,74,0,zilinsky kraj  bytca,19
546,0,53,0,zilinsky kraj  cadca,20
547,0,16,0,zilinsky kraj  zilina,0
548,1,62,1,zilinsky kraj  zilina,17
